slidename,mu1,mu2,mu3,sigma1,sigma2,sigma3
TCGA-BR-6565-01Z-00-DX1.0e53f881-e0d7-4906-946a-67f612906476.svs,8.69025452619156,-0.1010240316204466,0.03642365899590494,0.4567671115095365,0.09378193063014506,0.016908943314228327
TCGA-BR-A4CQ-01Z-00-DX1.B63282A5-154D-441B-BF96-5BB26CB6D95E.svs,8.083125462487915,-0.09206199762273289,0.097465582119632,0.7092847308676637,0.17265385435119038,0.03490063671951759
TCGA-BR-7851-01Z-00-DX1.1f3a3b7d-0c1e-42af-9d5b-2a90b759eca9.svs,8.156997387861162,-0.12953433514988466,0.07150659576690718,0.6691633538228893,0.1765398399174535,0.046092705159912546
TCGA-BR-6457-01Z-00-DX1.387f0968-fcec-4864-86f8-9c87f658c371.svs,8.522935676586805,-0.08783082992428476,0.057143730824961186,0.5951234600216406,0.10088262556597068,0.03213527799886302
TCGA-BR-8686-01Z-00-DX1.8f559dd9-228e-4ed2-a7e4-16e04b80f05c.svs,8.200659169681312,-0.07127369171557989,0.0861427169579011,0.8055308860347768,0.18712015964500264,0.04087006380090997
TCGA-BR-8687-01Z-00-DX1.95a2ccce-d477-42ca-9be1-eec03bc9f117.svs,8.578730762787078,-0.058278427328303455,0.06133872220680304,0.48300589103547464,0.10656775934677823,0.031991432793042764
TCGA-BR-7707-01Z-00-DX1.0aae4d1b-3345-4277-8820-c54e3df2e64f.svs,8.637370555511385,-0.06586696061259777,0.04406753883229072,0.5758873241472037,0.10001389014809094,0.043379892302084194
TCGA-BR-A44U-01Z-00-DX1.8C665560-8CAC-4ABF-B2B2-17A76B3A9F14.svs,8.87878577294469,-0.0351808166699757,0.046758802715182735,0.4172099142035855,0.08737732991535815,0.03210948144243287
TCGA-BR-A4CR-01Z-00-DX1.9DC43CFC-D1DC-4851-A1C1-CE8E3A24B8A4.svs,8.447238779835944,-0.07836182387612627,0.06983829561347395,0.5959166906545529,0.1300206865049671,0.03329171168622877
TCGA-BR-6563-01Z-00-DX1.2398c0e0-47a6-4557-8e2d-3b890756900a.svs,8.881064142773223,-0.04501582139110295,0.040419691712071285,0.37458529106606975,0.06981111031903475,0.021817958025971935
TCGA-BR-8384-01Z-00-DX1.4f2655b6-39ef-4532-b8ed-b604ee5dada5.svs,8.3373956818704,-0.03164053345481781,0.09344660873955325,0.5377380871449852,0.1206812386130755,0.03975905542963671
TCGA-BR-8077-01Z-00-DX1.8c68b0bb-ef3f-41e4-bd01-8a1dbb5ee8c1.svs,8.381628745349628,-0.0900669780779213,0.06421702394846641,0.7421420665110084,0.14388573844612176,0.05011857289602157
TCGA-BR-8368-01Z-00-DX1.b1d32cec-36d6-4ee9-9455-bf0c797a271a.svs,8.61157476597903,-0.0928955246310144,0.05482298098465882,0.5617344571693799,0.12049923567817586,0.028266110376257272
TCGA-BR-6707-01Z-00-DX1.fade928c-b514-43d8-90dd-37b505df9992.svs,7.860401328749262,-0.18035131993669645,0.0756234284793401,0.7350843701338778,0.17649054563628544,0.048446884617896424
TCGA-BR-7704-01Z-00-DX1.51495bff-d6fd-448c-b428-aea6fd593086.svs,8.215341431252062,-0.12200993291622007,0.07379948861934392,0.7351116604653668,0.15248172857887493,0.04556157259241342
TCGA-BR-6452-01Z-00-DX1.aec8246e-9dce-436d-9faa-df8fa1f6e47c.svs,8.720986760574158,-0.06930843356335992,0.04743824323802059,0.417783498209024,0.07669400848931994,0.02047646167720195
TCGA-BR-6454-01Z-00-DX1.63fb6280-2b43-49b2-960a-eb9c0e8b617c.svs,8.229861633636466,-0.14436692996902062,0.06754292742121168,0.5810645036639149,0.12305450015286303,0.02575860483099627
TCGA-BR-8590-01Z-00-DX1.504afa1d-3a8f-423f-9edf-4df35720c05f.svs,8.9583731820753,-0.039632041538742425,0.03351089990755912,0.3327632676504216,0.061095767326894986,0.01736453171066242
TCGA-BR-6455-01Z-00-DX1.402682fe-98b4-4381-85da-98510db17af9.svs,8.578858859265669,-0.08786099413811785,0.052746299690087775,0.47369050315926603,0.09312492315667342,0.023207746375691195
TCGA-BR-8589-01Z-00-DX1.5cd1a083-358a-4238-b3ca-1bfcdc084e80.svs,8.433000284493748,-0.09127261934816637,0.060346224939684195,0.6518462738813304,0.1362182055114518,0.031049486595314292
TCGA-BR-6705-01Z-00-DX1.1e145e40-56d6-4ebd-9a9b-bc5a0cbe3247.svs,8.756148600447595,-0.02770449886352993,0.054551283266298864,0.508383369876055,0.09638754107633347,0.046777916142011634
TCGA-BR-8373-01Z-00-DX1.d508dfad-2195-4aa4-bccc-58a450d07182.svs,8.86602591019029,-0.048531311953902,0.04697209574029281,0.448720632094746,0.08771745888873068,0.02791105555969631
TCGA-BR-8676-01Z-00-DX1.297da9bc-fbfd-4277-84e1-297f177211db.svs,8.480214555733221,-0.0872506918177685,0.06172156161154618,0.5746020798501025,0.12235027379926867,0.028549215006526178
TCGA-BR-8683-01Z-00-DX1.586c64f3-3f10-4729-99e2-38c6bd32e50d.svs,8.625736552304467,-0.043188310564805474,0.06517310434644616,0.45339331315639875,0.08623189182247423,0.027341725597422706
TCGA-CD-8525-01Z-00-DX1.37FFDBE4-8C18-4645-BFA3-139766A09601.svs,8.464315295700263,-0.03085064348291362,0.06001076519958948,0.7023999882408976,0.10408903047970083,0.03112991607379882
TCGA-BR-8360-01Z-00-DX1.5250b193-e906-4279-b8cf-aac8f37183be.svs,8.283874719416985,-0.14799107971779055,0.06441807087050536,0.6841054779795369,0.15013270139413226,0.029609243491722736
